mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-547.2303,82.73791,23.676888,14.329999,12.155833,21.25018,-11.960516,-7.052242,-14.960153,5.1520905,-8.99724,4.3316455,-1.611613,1
-533.36523,85.17565,27.995874,11.654024,7.286269,14.856525,-6.5734153,-7.474126,-15.797822,4.958557,-8.528319,0.48531565,0.97207004,1
-529.54706,71.15394,28.712393,18.46206,18.448526,14.046063,-13.049921,-16.826529,-17.538458,5.693889,-10.389646,-1.3610901,0.9595105,1
-521.1076,86.537544,26.307562,12.789684,14.19542,18.621153,-7.5969014,-4.034964,-15.08805,3.3199472,-4.5617027,3.3563902,-3.882854,1
-550.7667,87.76883,39.237804,22.412317,16.798958,12.414925,-0.22861077,2.7852907,-10.509291,-1.78078,-9.402809,-3.6857436,-7.19514,1
-555.3121,84.21561,27.684711,21.94081,22.04842,16.442669,-12.035107,-14.888497,-14.885867,4.962005,-7.7236648,-3.3131406,1.9705602,1
-521.07635,70.70565,25.53972,13.429229,15.211815,14.475977,-3.1181488,-6.7960978,-8.650676,2.2690942,-5.103087,0.80312425,0.48558676,1
-535.88226,80.37584,35.003742,16.6004,11.244953,7.6754794,-0.43103898,-1.7108585,-6.161946,-0.8538944,-5.7339635,0.19055443,-1.6220783,1
-532.85034,91.19844,39.85194,22.857107,11.981731,11.006751,-9.078963,-6.9695973,-16.376593,1.0628911,-10.228566,-2.1828833,-3.065296,1
-537.2491,76.526596,32.862392,14.531668,15.606782,12.396869,3.7366958,-6.4500537,-12.16314,3.5506353,-7.4326253,2.4229777,0.5944339,1
-535.6592,81.11124,32.003296,12.051177,12.2175455,10.127236,-1.7620664,-5.4242563,-9.368884,3.4388216,-8.0634985,-0.3906714,1.6771575,1
-586.17145,87.46701,39.80352,15.95935,16.699955,20.611082,-13.074811,-12.240007,-14.286369,6.6091957,-9.228718,1.6269786,-0.24964908,1
-515.71484,83.793785,18.566755,12.702133,15.94992,13.831016,-9.038272,-10.733229,-15.320504,3.4540055,-7.1352983,-1.5028809,0.09792536,1
-533.15894,85.78509,33.851974,7.080967,6.712447,9.436547,-2.363666,-5.630595,-12.488184,-1.5379665,-7.472407,-1.3675619,-2.4206975,1
-519.07886,78.75185,28.496231,23.041458,21.42586,12.193332,-7.6249633,-10.7654,-15.259923,-0.20750794,-11.9280815,-4.973527,0.827316,1
-527.0908,78.37001,23.368572,10.376454,6.4746084,13.763207,-8.821497,-5.829409,-16.272963,4.0332522,-7.9670362,2.5864801,2.7910492,1
-522.48114,74.75146,25.458775,25.742758,19.75567,11.142827,-9.39899,-3.3007667,-15.171002,-1.0862902,-10.738412,-4.461584,-1.98806,1
-518.4809,70.64045,26.555258,9.73629,19.4508,12.050088,-6.3609405,-10.479545,-12.492329,3.9166489,-8.301845,-1.5159744,0.45500934,1
-490.68152,88.02069,18.570673,6.317885,8.40342,7.594346,0.50267714,-5.2113824,-8.623661,-2.4614263,-5.040139,2.9942906,-3.4565606,1
-494.63913,67.73568,16.479544,16.505604,13.551111,11.344343,-15.797219,-13.747264,-12.635852,4.0010705,-5.602142,-2.1677442,-0.7850196,1
-530.4126,68.75838,20.837727,17.029503,13.398069,16.236946,-9.241751,-9.96122,-13.488841,4.2767687,-8.178174,-0.88126475,1.3841664,1
-522.86127,54.00334,19.240704,27.38466,19.401674,13.785631,-7.593117,-13.101493,-14.309413,0.63166386,-8.014037,-7.022272,1.7849665,1
-535.0543,47.501366,23.886223,21.122442,23.156044,10.50939,-4.3379245,-3.8016694,-8.927987,-2.980138,-5.3167186,2.1043038,1.0800254,1
-529.4088,70.018814,21.71677,19.337572,14.850901,7.6283526,2.2827601,-8.25654,-9.029877,-1.276371,-5.3951063,-4.680483,-3.3590584,1
-550.67615,77.295006,32.290302,17.353323,8.176534,12.344517,-5.5024714,-10.200235,-14.97355,4.91212,-8.160881,-1.0286624,0.2863021,1
-510.4569,75.640854,24.691223,5.7637024,12.296246,12.465109,-5.0126276,-5.2834544,-9.606297,2.87604,-3.8966568,2.7017868,2.3016078,1
-554.4127,79.86542,26.005566,24.541134,23.478765,15.238378,-11.059878,-8.001444,-16.475454,5.5878277,-9.135627,-3.1361992,2.694705,1
-523.1876,72.04564,32.274982,14.017047,19.48074,11.796408,-5.9731927,-9.730501,-11.341251,3.4926507,-9.398799,0.081578575,-1.7286344,1
-508.03293,78.64698,31.427727,10.300426,13.132978,11.160656,-1.153412,-9.515748,-10.8642845,5.872346,-8.374385,-0.9615793,-3.8127031,1
-521.28864,70.16159,34.810635,17.650635,24.823378,15.06836,-4.655683,-9.45743,-11.609495,-0.18982826,-10.682809,-1.5473617,-0.13363084,1
-518.2432,92.31802,33.167313,8.797323,15.531471,15.3407955,-0.7003232,-5.8883057,-13.281934,0.69581985,-7.2028213,-1.5508955,-3.4512074,1
-559.37885,67.03696,27.261137,21.03168,18.155684,17.965265,-6.9877934,-5.199977,-13.178165,5.3601017,-7.6015162,0.27582818,1.1325517,1
-532.5437,64.781845,19.843048,23.361975,18.164175,9.780916,-9.545447,-13.326244,-14.23003,2.6476524,-5.7796674,-4.0438395,1.6170757,1
-528.01697,84.49023,24.429525,15.528809,11.354847,12.224319,-11.337314,-11.092663,-18.425417,5.7318,-7.661311,-2.2899513,-0.23967037,1
-530.6645,87.519066,34.38814,13.476001,13.740792,16.300594,-7.5817156,-4.92832,-16.597353,1.1147602,-8.689801,-1.7630578,2.5180588,1
-528.8821,93.07295,36.89013,18.018316,6.883813,12.3165655,-15.03224,-4.6701684,-17.512486,5.552185,-10.613879,0.18410182,-0.3165414,1
-507.57068,94.46121,34.533142,5.7909956,11.361686,7.3314953,1.8518032,-8.911772,-13.69773,0.88255507,-8.384415,-3.9099634,-4.308415,1
-494.00436,70.630295,28.657225,5.4698963,15.085172,11.648871,-7.266295,-9.778121,-14.459635,1.629402,-8.041407,-0.009805752,-0.82900137,1
-490.98846,90.62238,40.20631,9.49312,3.365598,5.954773,-3.7158637,-5.1133695,-11.039273,-1.7655265,-4.1984115,1.6088022,-7.540978,1
