mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,label
-1.1721003,0.37255415,-0.7250308,-0.1390521,-0.41801247,1.8680264,-0.72639495,0.7455577,0.07118547,0.5472631,-0.11741648,2.1695461,-0.46028632,-0.86324376,-0.41078997,-0.99256635,-1.8513118,0.43949896,0.55955154,0.9591935,0.061155736,0.629115,0.46372828,1.7863661,0.8539873,0.16579774,0.09407046,0.8609214,0.90722877,0.9092101,0.5690101,-0.9739448,-0.47694916,-1.3379574,-1.5741682,4.24E-05,0.94450396,-1.0609794,-0.8339173,1
-0.39542732,0.5850377,-0.022164289,-0.58533,-1.3559037,0.17892832,0.2891387,0.6434911,-0.1545842,0.48822713,0.06057265,0.6890044,0.4166749,0.10876591,-1.3303914,-0.46246547,-0.8082226,-0.78556,0.8803402,0.23716812,-0.71507573,-0.2530583,0.25887012,0.24722186,-0.18112083,-0.600741,0.6633825,-0.55378467,-0.9999976,-0.40508038,1.3387486,-0.94378567,-1.2002592,0.3429952,1.3263808,-0.72853744,-0.45673653,-1.2105752,0.67745507,1
-0.18154606,-0.637151,0.094441004,0.5500605,0.7939773,-0.035182647,-0.9317607,-1.6191411,-0.62372166,0.71253425,-0.6459359,-0.021720078,0.41241184,-1.344808,-0.14061141,-0.57403094,0.05445795,0.26692948,0.42365068,-0.3891394,-0.5260696,-0.3502574,0.28887457,-0.06701146,1.0656437,0.22706373,-0.4220067,1.055164,-0.95731544,1.1718078,0.89725435,1.9831963,-0.3037919,-1.0424165,-1.3413659,-0.24150343,-0.69973415,-1.1735551,-0.7186305,1
0.29120335,0.70374566,-0.29691783,-0.39593342,-0.02518248,1.1734815,0.09619913,1.4755294,0.036714487,-0.011617688,1.5661923,1.7941477,-1.2311974,-1.5886123,0.6445556,0.15235677,-0.46737128,0.7606819,-0.17485158,0.10394516,0.08539716,-1.1413811,-0.3307794,1.1095794,0.6043579,0.38834372,-0.49578774,0.5492492,-0.21143201,0.97940457,0.09177558,-0.8672853,0.15262496,-0.8134845,0.056070324,0.5093911,-1.4825273,-0.1698977,0.81116873,1
-1.3701996,0.8110694,1.8073332,1.208853,0.4762659,-0.4661024,1.4852109,3.1255572,1.2707858,-1.5675534,-0.2713594,-0.9165332,-2.3554633,2.0642605,0.9417406,1.495438,1.1065718,-0.4656642,1.5095353,-0.4960957,0.6202444,0.19468163,-1.0344754,-2.8475525,-0.8748595,-0.6593658,0.4799668,-1.2890112,0.8475132,0.49593556,-1.3655001,-0.6470813,1.1117829,0.47078267,-0.4437284,-0.58862364,0.22467768,1.0661399,-0.26765403,1
-1.6248145,0.50135636,-0.07280255,1.1302186,1.4873265,0.59796125,-0.7404562,-1.1502719,0.09120697,0.4892789,0.3659979,-0.7731097,0.75558525,-0.3851497,-0.2976202,-0.7193871,0.3362878,0.75095594,0.6558296,-0.53264385,-0.6097135,0.23556675,-0.015201757,-0.86348885,-1.2432452,-0.3316062,-0.16570666,0.36255994,0.20508982,-0.09722381,1.031488,0.18215702,-1.0623764,0.45700288,1.6250721,0.51300275,0.5471954,0.16174419,-1.1829878,1
0.29295388,-0.6762256,-0.4218757,-0.28927544,0.17057787,0.078393675,0.9404982,0.8075268,1.7717214,-0.3321719,1.3606976,0.81133634,0.25155133,0.42016906,-0.4963255,0.19154775,-0.18495212,-0.7115104,-0.06854082,-0.254583,-0.06514813,-0.13664682,0.012337277,-0.0095197065,0.2328709,-0.37890702,0.9984688,0.09760853,0.3696709,-0.4598749,0.13410914,-0.78002506,-0.8947348,0.38809255,0.27273756,-0.74455804,-0.18511152,-0.22567627,0.34104863,1
-0.53642267,0.16666682,1.1182872,0.23958759,-0.5934504,-1.7181857,1.4470508,2.0378015,2.4424863,-1.2848144,1.1212342,0.575544,-0.4638385,1.8627057,-0.7541696,-1.9704063,-0.8273447,-0.606164,0.93504524,0.6046656,-1.415462,-1.4913344,0.7443612,-0.09860861,1.5405871,1.1376805,2.9182055,-0.9259043,-0.46678254,-0.591804,-1.4668355,0.54698783,-0.32677254,-1.2911454,-0.94697034,1.4889463,1.0391985,1.5340215,-0.4364332,1
-0.36658478,1.1100081,1.9072769,1.2830316,-0.45154494,-0.8381187,-0.18318768,0.765552,-0.3105747,-0.7001144,-0.5847942,-0.33804736,-0.9536996,-0.18641531,1.3587984,1.4145902,0.4710685,0.7956676,0.4601821,0.16508828,1.9720966,0.36104524,-1.8539872,-0.8235437,-1.6885278,-2.1677675,-1.0744798,-0.47902608,-0.19532914,1.2567405,1.8603892,0.05472873,0.8949728,-0.8401109,0.5075552,1.1298906,-1.0369157,0.13467658,0.97213715,1
-0.61298734,-0.16884863,0.7698067,-0.10541937,0.24664943,-0.47087246,2.2327192,0.8912454,0.82503855,0.058751788,0.47646853,1.4348556,0.28849658,-0.9383774,-0.06373234,0.6630255,0.33946693,0.61716664,0.963781,-0.37406412,0.8449093,1.7581825,-0.3258402,0.6439406,0.8610228,0.6395126,-0.6083377,-0.39525202,-0.13686983,-0.050639678,-0.010218556,-0.7379265,-1.4128628,0.7176004,1.3755597,0.73743874,0.31353524,-1.3039348,-0.61566126,1
-0.5239263,0.23076701,0.6299984,-0.51909596,-0.4061265,-1.0704719,1.1961361,1.1394172,1.5781496,0.024644036,0.23700632,0.3518167,0.6559979,0.6569061,-1.0405127,-0.26210263,0.058892775,-0.19453864,0.15787193,-0.8430849,-0.5413757,-0.18283625,0.12658598,0.5017855,1.1551607,0.70122945,-0.83644974,0.3191046,1.7165587,-1.5748473,-0.3414921,0.6755074,0.24028692,1.9550219,0.66798246,-1.2584081,0.24700512,-0.6992751,0.45543182,1
-3.3534515,0.78476167,1.8993971,0.13267814,0.4571977,1.6991874,-0.9364528,-0.5095211,0.25278416,0.9917412,-0.2052791,1.128457,0.00199549,-0.008812486,1.7251408,0.42084566,-0.34347156,0.4540756,0.8992263,-0.53252286,1.7334231,-1.2572343,-2.1675465,-0.23954028,-1.0441537,-0.2531755,-0.011149026,-0.12777175,-0.8945196,1.5154879,-0.46270022,-0.70994925,2.0164719,-0.530404,-0.3766402,1.2453198,0.08042032,-0.05990078,2.030223,1
0.5932875,0.46458867,-1.5566471,-0.41053483,0.3127387,-0.09199449,-0.17551652,-0.14498536,-0.025936807,0.029275844,0.5893258,-0.07629854,0.119970135,0.67633164,2.7563539,1.0615809,-0.80780506,-0.3955218,0.20472394,-0.718273,0.62639207,-0.4680903,-1.9234132,-0.9105352,1.2243481,1.3146722,-1.7345071,-0.6215667,2.052269,2.3460972,1.7349448,0.9118457,0.92970294,0.10150454,-0.015192637,0.61095464,-2.3104925,-1.9560478,1.8282206,1
-0.38387117,0.6381586,0.93084997,-1.3479882,-1.4664234,-1.2529405,1.0827272,1.0894976,0.7374327,-1.4934851,0.46136856,-0.024211207,-0.73490816,-0.19718677,-1.8389815,-1.0868155,-0.15292889,-0.8270712,-0.25663,1.9264235,1.7794665,2.3892517,0.56717175,-1.1248031,0.6290308,0.56807065,0.31966096,1.5452541,0.97687197,-0.6462333,-0.18576048,-0.83919036,-1.8301936,-1.1866665,-2.0923586,-1.722822,0.35488954,-0.35688683,-0.27572933,1
